EID,Fname,Lname,Email,Phone,Salary,Availabile,Address
1,Harold ,Branson,lindsey_mer@hotmail.com,516-251-9663,75000,T,1
2,Katherine ,Piccirillo,camila_kautz@yahoo.com,561-874-8991,70000,T,4
3,Thomas ,Nino,annette2014@gmail.com,727-204-9137,60000,F,2
4,William ,Smith,jane2006@gmail.com,786-361-0874,50000,F,5
5,Luis ,Spigner,jarrell.jon@hotmail.com,813-895-7479,90000,T,3
6,Tracy ,Schultz,april_jone3@hotmail.com,813-427-9841,65000,F,16
7,Leonard ,Cady,irving.haye10@hotmail.com,352-286-3812,85000,T,20
8,Ken ,Huber,mae1977@hotmail.com,813-404-2027,80000,F,18
9,Ruben ,Baker,ava.hauck1997@hotmail.com,407-256-0028,55000,F,19
10,Marci ,Stokes,barbara1974@gmail.com,813-303-9699,62000,T,17
